Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chad,910.7886,805.9136,847.67834,1074.3043,1140.9663,1218.2876,1155.4182,1147.6157,1212.209,1224.7379,1196.3903,1208.9354,1182.6046,1128.1547,1139.4438,1160.8763,1068.9586,1147.1814,1112.789,1098.5048,1031.267,1084.1892,782.2993,884.8151,1280.5431,1561.0459,1638.4246,1762.3224,1829.6758,1664.0165,2135.6323,2020.7445,2114.5605,1804.3229,1811.2366,1942.6559,1681.2961,1579.2462,1620.899,1615.0825,1615.0825,1615.0825,1615.0825,1615.0825,1615.0825
Chile,7306.0596,7561.518,6520.5186,6224.6113,6341.75,6258.4023,6473.5034,6856.113,7400.482,7956.8716,8012.586,8506.622,9371.283,9827.764,10543.915,11898.526,12283.932,12358.101,12066.892,11407.16,11693.727,11511.693,11481.016,11870.72,13106.786,14570.872,16854.547,18105.645,17407.621,17554.469,20055.396,22020.885,23062.062,23622.014,23741.92,23214.646,22606.166,22864.049,23286.533,23252.557,23252.557,23252.557,23252.557,23252.557,23252.557
China,1678.2577,1667.3282,1762.4872,1871.7107,2095.368,2336.5251,2366.6023,2443.5935,2548.7253,2507.4414,2427.055,2519.9937,2722.6484,2943.4604,3133.4246,3431.2358,3659.8289,3757.72,3741.418,3930.9387,4199.84,4540.0283,4940.1445,5365.0444,5952.99,6588.563,7144.8,7817.45,8281.87,8938.087,10116.533,10874.707,11501.821,11899.735,12411.439,12784.436,13147.852,13854.229,13819.324,14128.812,14128.812,14128.812,14128.812,14128.812,14128.812
Colombia,7802.737,7679.038,7548.4917,7354.1274,7349.4995,7189.221,7491.647,7407.0815,7494.5967,7517.981,7624.974,7516.794,7725.0728,8091.757,8380.605,8597.688,8479.622,8537.107,8211.042,7650.2524,7760.558,7679.919,7661.362,7820.7036,8089.7007,8529.045,9216.343,10036.59,10897.64,10974.397,11956.13,13226.351,13683.41,13840.157,14080.851,13796.842,13566.159,13426.758,13782.132,14057.756,14057.756,14057.756,14057.756,14057.756,14057.756
Comoros,4266.2812,4038.74,4215.6074,4198.4766,4737.9204,4635.968,4984.446,4846.2847,4593.6357,4238.011,4056.2666,3769.3975,3876.7458,3651.4758,3244.372,3733.7634,3529.6528,3555.6924,3173.8198,3116.7026,2951.0872,3198.0337,3194.0566,3096.7175,2993.5403,3319.014,3208.023,2526.7837,2664.4934,2631.4363,2503.1409,2731.474,2961.5688,2985.0916,3005.5605,2988.6812,3090.4937,3136.6602,3181.9802,3208.8936,3208.8936,3208.8936,3208.8936,3208.8936,3208.8936
Congo,3852.466,3053.0005,3173.9421,5011.885,5729.822,5242.557,3222.5457,2961.7996,2677.1343,2614.498,3021.775,3294.95,2339.3525,2408.0479,2232.0698,2098.3245,2318.4878,2151.5488,1664.5428,2086.742,2908.7065,2714.7468,2628.9763,2674.9067,3128.918,4293.3706,4609.468,3629.85,4920.0557,3763.5007,5782.8184,7036.3994,7537.829,6984.387,6489.6,4702.7046,3968.5942,4074.6653,4925.4014,4657.116,4657.116,4657.116,4657.116,4657.116,4657.116
Costa Rica,8711.516,8399.101,7640.261,7521.541,7872.4414,7791.8486,8399.367,8193.195,8200.516,8503.62,8554.561,8486.701,9139.446,9528.854,9725.536,9864.47,9468.594,9664.772,10392.514,10271.373,10515.262,10787.231,10691.711,10874.106,11215.025,11871.861,11952.692,12489.902,13053.728,13642.417,13726.42,14410.855,15094.226,14711.616,15424.482,16333.762,17231.314,18127.814,18217.113,18522.178,18522.178,18522.178,18522.178,18522.178,18522.178
Cote d'Ivoire,2666.682,2685.6575,2653.4292,2571.5454,2539.6838,2716.5298,2742.6409,2603.6125,2570.049,2721.9626,2428.3728,2402.7683,2423.8716,2311.1638,2193.9429,2441.3,2563.752,2489.2673,2470.8025,2367.7683,2261.1787,2223.586,2147.0774,2347.7002,2188.2683,2141.6702,2195.8384,2274.3438,2359.7388,2507.6616,2796.2966,2889.4258,3346.0703,3657.7283,4091.1125,4541.9023,4546.2495,4548.877,4816.764,5035.349,5035.349,5035.349,5035.349,5035.349,5035.349
Croatia,10384.43788,10718.00039,11051.5629,11385.12541,11718.68793,12052.25044,12385.81295,12719.37546,13052.93798,13386.50049,13720.063,10899.353,9573.355,8944.084,9685.564,10301.132,10736.777,11729.542,12132.699,12464.765,13427.418,14111.179,15212.699,16221.238,16700.596,18152.627,19902.887,21548.15,22912.477,21806.916,21639.455,22431.89,22540.734,21535.82,21477.525,22547.463,23327.596,25359.7,25104.54,26001.002,26001.002,26001.002,26001.002,26001.002,26001.002
Curacao,16480.56893,17010.74857,17540.92821,18071.10786,18601.2875,19131.46714,19661.64679,20191.82643,20722.00607,21252.18571,21782.36536,22312.545,22842.72464,23372.90429,23903.08393,24433.26357,24963.44321,25493.62286,26023.8025,26553.98214,27084.16179,27614.34143,28144.52107,28674.70071,29204.88036,29735.06,30349.594,28991.113,29011.537,25348.887,25380.31,25552.223,24902.684,24368.346,23849.953,23669.424,23076.78,22077.744,21425.494,21161.58,21161.58,21161.58,21161.58,21161.58,21161.58
Cyprus,15213.302,15136.402,16109.721,16706.447,18406.432,17863.164,17977.922,19194.125,20122.25,22119.771,22535.14,21508.553,22322.89,21656.121,22380.373,23329.41,22778.906,23260.777,22803.709,24305.844,27567.72,28040.58,26906.66,25184.34,25365.447,28928.69,29449.406,30878.047,32407.42,31801.402,31855.75,30961.527,31319.172,28148.766,26588.385,28228.88,30758.475,31253.988,31223.533,32301.82,32301.82,32301.82,32301.82,32301.82,32301.82
