Country Name,GDP Data,Enrollment Rates
Australia,40172.168,154.3604122
Australia,40712.246,154.6997228
Australia,41971.69,155.0390333
Australia,42933.586,155.3783439
Australia,45488.26,155.7176544
Australia,45679.094,156.056965
Australia,46090.77,156.3962756
Australia,47621.637,156.7355861
Australia,46605.594,157.0748967
Australia,50222.52,157.4142072
Australia,52136.227,157.7535178
Australia,51097.926,158.0928283
Australia,52768.6,158.4321389
Australia,51919.355,158.7714494
Australia,48712.19,159.11076
Australia,51497.21,155.59439
Australia,52536.19,153.57613
Australia,54236.766,136.10555
Australia,54147.008,144.05656
Australia,54147.008,137.49074
Australia,54147.008,135.52657
Australia,54147.008,133.27727
Australia,54147.008,133.27727
Australia,54147.008,133.27727
Austria,20080.336,92.846146
Austria,20037.82,93.50892
Austria,20134.324,92.13231
Austria,20551.975,93.81518
Austria,20423.42,94.24794
Austria,20841.47,96.17125
Austria,21803.77,99.64796
Austria,22667.035,100.91726
Austria,24061.92,102.03392
Austria,25263.441,102.08363
Austria,26615.162,103.10013
Austria,27652.299,102.7586
Austria,28590.305,103.18271
Austria,28989.445,103.54242
Austria,30206.715,104.51058
Austria,31342.947,105.02539
Austria,31967.035,105.03411
Austria,33539.09,104.72202
Austria,34845.543,97.5271
Austria,36093.906,98.31349
Austria,38036.566,98.61234
Austria,37042.785,98.86086
Austria,37653.426,98.95127
Austria,38394.566,99.39745
Austria,39732.598,99.28564
Austria,43298.79,100.19943
Austria,43980.133,100.41668
Austria,45328.258,100.10257
Austria,46818.812,100.12613
Austria,44564.95,100.59409
Austria,45806.348,100.26397
Austria,47593.11,99.67296
Austria,48182.363,100.10873
Austria,47261.83,101.17321
Austria,49125.188,101.30481
Austria,49618.703,101.41158
Austria,49865.79,100.22799
Austria,51954.277,100.3379
Austria,52968.19,100.6926
Austria,53344.508,101.54363
Austria,53344.508,101.69056
Austria,53344.508,102.30766
Austria,53344.508,101.458
Austria,53344.508,101.458
Austria,53344.508,101.458
Azerbaijan,7939.215537,nan
Azerbaijan,8194.996683,nan
Azerbaijan,8450.777829,nan
Azerbaijan,8706.558976,nan
Azerbaijan,8962.340122,nan
Azerbaijan,9218.121268,nan
Azerbaijan,9473.902415,nan
Azerbaijan,9729.683561,nan
