,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
33,Cameroon,25.61538462,28.46153846,31.30769231,34.15384615,37,891.5,1746,874,2,1,0,2,3.333333333,4.666666667,6,9.6,13.2,16.8,20.4,24,3,30,25,20,11,2,5,8,9,11,13,19,25,0,0,4,3.5,3,28.5,54,0,10.5,21,27,27
34,Canada,0,0,0,0,0,12,0,27,2,1,8,0,0,0,0,2,10,5,31,7,11,11,0,7,0,4,1,6,0,2,0,8,0,14,0,0,0,2,70,2,1,822,17,10,10
35,Cape Verde,2.142857143,2.571428571,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.857142857,1.285714286,1.714285714,2.142857143,2.571428571,3,2.4,1.8,1.2,0.6,0,9,4.5,0,0.333333333,0.666666667,1,0.5,0,0,0
36,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.5,0,0,1.5,3,1,0,3,1,1,1,0,4,3,1,0,0,0.5,1,0.5,0,0,0,0,0,16,0,0
38,Chad,80,120,719,719,719,723,500,277,54,49,44,39,19.5,0,1,2,1,0,0,0,50,100,90.4,80.8,71.2,61.6,52,29,0,6,24,22,20,0,0,0,0,0,26,52,3,32,22,22,22
39,Chile,20,10,0,4,127,180,39,164,0,21,0,141,0,115,74,33,38.5,44,22,0,16,6,19,0,3,61,18,18,9,285.5,562,0,9,0,18,204,12,42,25,8,4,0,3,33,431
40,China,6491,2465,551,921,144,1661,683,881,3969,3161,1324,4317,1449,1565,3203,2436,5612,1633,4501,1727,663,922,1426,1092,807,1020,2109,1150,88450,582,7186,746,802,1395,1575,500,1287,514,354,571,463,455,283,386,54
41,Colombia,40,225,120,411,0,21800,278,674,146,16,10,107,11,170,308,141,17,2,104,1276,115,99,135,115,116,180,150,218,145,61,541,396,77,7,88,104,10,384,26,84,66,42,156,32,0
42,Comoros,0.25,0,16.5,33,17.5,2,13,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.666666667,1.333333333,2,2.666666667,3.333333333,4,2,0,1.6,3.2,4.8,6.4,8,8,8,8,8,8
43,Congo,28.875,19.25,9.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.333333333,0.666666667,0,0,0.5,1,6,0,3.8,7.6,11.4,15.2,19,16.28571429,13.57142857,10.85714286,8.142857143,5.428571429,2.714285714,0,20,24,0,10,7
44,Cook Islands,0,0,0.833333333,1.666666667,2.5,3.333333333,4.166666667,5,3.666666667,2.333333333,1,3.571428571,6.142857143,8.714285714,11.28571429,13.85714286,16.42857143,19,14.25,9.5,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Costa Rica,1,4.666666667,8.333333333,12,16.6,21.2,25.8,30.4,35,18,1,48,0,12,2,0,60,34,8,9,7,0,10,3,10,6,12.5,19,11,31,27,4,8,5.333333333,2.666666667,0,9,13,1,0,0,3,0,0,0
46,Cote d'Ivoire,,,,0,0,0,0,0,0,0,4,8,12,16,20,24,28,25.45454545,22.90909091,20.36363636,17.81818182,15.27272727,12.72727273,10.18181818,7.636363636,5.090909091,2.545454545,0,6,27,18,25,32,39,46,16,20,15,20,12,24,18.5,13,13,13
47,Croatia,,,,,,,,,,,,,,,,,0,0,13.66666667,27.33333333,41,0,394,788,397.5,7,0,12,8,4,0,3.5,7,5,3,0,0,0,0,1,9,370,731,1,1
48,Cuba,3,0,24,15,9.5,4,0,0,23,13.5,4,2,0,51,14,2,3,0,6,4,2,5,3,0,4,20,2,1,7,8.75,10.5,12.25,14,2,2.5,3,0,10,9,6,0,0,9,6,6
