,Country Name,Country Code_x,Country Code_y,ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
53,Colombia,COL,COL,1.5,,,,,,,,,,,78.0,79.0,79.0,80.0,81.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,,,,,,,,,,,,91.0,,,91.0,,,,,,,,93.0,93.0,92.0,93.0,93.0,93.0,93.0,94.0,,,94.0,94.0,95.0,,95.0,95.0,96.0,,,
54,Comoros,COM,COM,1.5,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,49.196140145,,77.57327,78.13739,,,,,,,61.70999954,
55,Congo,COG,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,79.31117,,,,79.31117,,,,,,80.61,,
56,"Congo, Dem. Rep.",,COD,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,61.20555115,,,,,75.0,,,,77.0,,73.55303192,,,,80.54000092,
57,"Congo, Rep.",,COG,2.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,79.31117249,,,,,,,,,,80.61000061,,
58,Cook Islands,COK,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Costa Rica,CRI,CRI,1.5,,,,,,,,,,,88.0,89.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,93.0,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,97.0,,,,97.64725,,,,,,98.04000046,,
60,Cote d'Ivoire,CIV,CIV,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,36.0,,49.0,,,,,,,,,,,,40.98162921,,44.0,43.26532,50.039680239999996,,,90.0,,50.000640434999994,,
61,Croatia,HRV,HRV,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,98.0,,,,,,,,,,99.12536,,,,99.27259,,,,,,99.449998475,,
62,Cuba,CUB,CUB,1.5,,,,,,,,,,,89.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,98.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,100.0,,,99.71072,,,,97.65490861500001,,99.67311047999999,,
