,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
21,Bermuda,,,,,,0.0,0.0,70.93708,35.46854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Bhutan,,,,,,,,,,,,,,,12584.697,10067.7576,7550.8182,5033.8787999999995,2516.9393999999993,0.0,170.29683,127.7226225,85.148415,42.5742075,0.0,0.34399626,0.68799252,1.03198878,1.37598504,1.7199813,1403.84149065,2805.963,2531.823292,2257.6835840000003,1983.5438760000002,1709.404168,1435.2644599999999,1161.124752,886.9850439999999,612.8453359999999,338.7056279999998,64.56592,64.56592,64.56592,64.56592
23,Bolivia,261.50208,381.121705,500.74133,51188.36,47.98523,7.4385724,4753.1504,300.23575,0.0,1995.1537,3990.3074,2270.02325,549.7391,1672.1116,2794.4841,1397.24205,0.0,2334.833,218.09041,93.61236,608.508,4084.741,193.59389,304.60223,455.85626,500.4375,1326.6737,4744.554,3770.7756,878.96893,2843.1196,892.8701,653.61383,6603.2837,2819.669,1525.8848,5952.402,3028.69561,104.98922,3299.0532,1370.7162,2382.612,3196.878,17411.414,51.641777
24,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,26.24605,9.642636,214.54414,855.10452,1495.6649,6710.3433,75.71507,37.857535,0.0,177.03543,354.07086,916.0102,598.804525,281.59885,14150.605925000002,28019.613,0.0,5.646115,11.29223,16.938344999999998,22.58446,452.0237,7643.044,125.311966,312.0664,312.0664
25,Botswana,,,13271.699,16988.883,16394.629,15825.41,15281.2,14807.373,951.9725,2473.6803,3995.3881,5517.0959,7038.8037,4811.3026266666675,2583.8015533333337,356.30048,1892.181584,3428.062688,4963.943792,6499.824896,8035.706,6093.47891,4151.2518199999995,2209.02473,266.79764,262.789088,258.780536,254.771984,250.76343200000002,246.75488,123.37744,0.0,94.93592,189.87184,94.93592,0.0,67.656235,135.31247,172.34972,1520.1793,1520.1793,1520.1793,1520.1793,1520.1793,1520.1793
26,Brazil,221.64656,41.78382,3.3576672,17818.604,292.55627,449.61667,22.439306,201.60841,2440.5596,781.7008,1.8579165,11.478027,94.645454,47.633323675,0.62119335,21.893972,8.495089,37.304794,2546.9949,3287.3691,130.77565,569.2359,2.7704408,53.477184,142.71713,22.133078,61.433945,635.09875,910.34924,958.806,154.57988,612.0439,1390.5284,881.11957,4727.7466,4533.0747,4383.13,49.946053,0.7375102,4744.941,8.574258,627.4995,226.29097,572.7317,46.883507
27,British Virgin Islands,,,,,,,,,,,,,,,,,16.534391,15.747039047619047,14.959687095238095,14.172335142857142,13.38498319047619,12.597631238095238,11.810279285714286,11.022927333333334,10.23557538095238,9.448223428571428,8.660871476190476,7.873519523809524,7.086167571428572,6.298815619047619,5.511463666666667,4.724111714285714,3.936759761904762,3.1494078095238094,2.362055857142857,1.574703904761905,0.7873519523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Brunei,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bulgaria,,0.0,0.0,0.0,11.470856666666668,22.941713333333336,34.41257,25.8094275,17.206285,8.6031425,0.0,19.353873333333333,38.707746666666665,58.06162,43.711499992499995,29.361379985,15.0112599775,0.66113997,5.6831055,10.413734,2.0623155,0.0,0.0,52.03521333333333,104.07042666666666,156.10564,7.0434866,14.626181,0.0,0.59270805,1.1854161,255.38859305,509.59177,312.7641125,115.936455,0.0,2.8100055000000004,5.620011000000001,8.4300165,8.161449566666667,7.8928826333333335,7.6243157,161.26619,60.349453,60.349453
30,Burkina Faso,582.8383,3394.0762,3302.2532,3210.447,3138.5627,3045.7239,2928.1876666666667,2810.6514333333334,2693.1152,15583.2071,28473.299,21519.720774999998,14566.142549999999,7612.5643249999985,658.9861,57.006153,656.1208,420.46231,184.80382,13.525749,6.7628745,0.0,46.505915,93.01183,121.63710666666667,150.26238333333333,178.88766,820.23724,32.043865,968.05,827.46936,1340.4124,15475.615,64.61631,22014.498,154.53021,181.0225,4.446492,4696.398994666667,9388.351497333333,14080.304,14760.369999999999,15440.436,15440.436,15440.436
